CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,Hargrave,619,France,Female,42,2,0,1,1,1,101348.88,1
15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
15701354,Boni,699,France,Female,39,1,0,2,0,0,93826.63,0
15592531,Bartlett,822,France,Male,50,7,0,2,1,1,10062.8,0
15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
15632264,Kay,476,France,Female,34,10,0,2,1,0,26260.98,0
15691483,Chin,549,France,Female,25,5,0,2,0,0,190857.79,0
15568982,Hao,726,France,Female,24,6,0,2,1,1,54724.03,0
15577657,McDonald,732,France,Male,41,8,0,2,1,1,170886.17,0
15725737,Mosman,669,France,Male,46,3,0,2,0,1,8487.75,0
15625047,Yen,846,France,Female,38,5,0,1,1,1,187616.16,0
15738191,Maclean,577,France,Male,25,3,0,2,0,1,124508.29,0
15700772,Nebechi,571,France,Male,44,9,0,2,0,0,38433.35,0
15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
15717426,Armstrong,850,France,Male,36,7,0,1,1,1,40812.9,0
15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
15683553,O'Brien,788,France,Female,33,5,0,2,0,0,116978.19,0
15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203,0
15620344,McKee,813,France,Male,29,6,0,1,1,0,33953.87,0
15770811,Wallace,519,France,Male,36,9,0,2,0,1,145562.4,0
15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388,0
15614049,Hu,664,France,Male,55,8,0,2,1,1,139161.64,0
15662085,Read,678,France,Female,32,9,0,1,1,1,148210.64,0
15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
15663706,Leonard,777,France,Female,32,2,0,1,1,0,136458.19,1
15641732,Mills,543,France,Female,36,3,0,2,0,0,26019.59,0
15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0
15738751,Beit,493,France,Female,46,4,0,2,1,0,1907.66,0
15625759,Rowley,729,France,Male,30,9,0,2,1,0,151869.35,0
15622897,Sharpe,646,France,Female,46,4,0,3,1,0,93251.42,1
15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0
15809248,Cole,524,France,Female,36,10,0,2,1,0,109614.57,0
15640635,Capon,769,France,Male,29,8,0,2,1,1,172290.61,0
15633059,Fanucci,413,France,Male,34,9,0,2,0,0,6534.18,0
15808582,Fu,665,France,Female,40,6,0,1,1,1,161848.03,0
15743192,Hung,623,France,Female,44,6,0,2,0,0,167162.43,0
15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0
15698028,Duncan,506,France,Female,41,1,0,2,1,0,31766.3,0
15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0
15690673,Cameron,656,France,Female,39,6,0,2,1,0,141069.88,0
15779659,Zetticci,625,France,Female,28,3,0,1,0,0,183646.41,0
15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1
15671137,MacDonald,549,France,Female,52,1,0,1,0,1,8636.05,1
15575492,Kennedy,828,France,Female,41,7,0,2,1,0,171378.77,0
15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0
15740404,He,758,France,Female,34,3,0,2,1,1,124226.16,0
15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
15642004,Alekseeva,686,France,Male,25,1,0,2,0,1,16459.37,0
15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0
15724944,Tien,663,France,Male,34,7,0,2,1,1,180427.24,0
15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0
15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0
15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0
15794413,Harris,416,France,Male,32,0,0,2,0,1,878.87,0
15759618,Alexeeva,535,France,Female,48,9,0,1,1,0,149892.79,1
15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0
15709368,Milne,614,France,Female,43,6,0,2,1,1,109041.53,0
15655007,Li,758,France,Female,33,7,0,2,0,0,82996.47,0
15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
15641122,Wei,684,France,Male,30,2,0,2,1,0,83473.82,0
15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0
15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0
15625524,Rowe,512,France,Male,40,5,0,2,1,1,146457.83,0
15645248,Ho,510,France,Female,30,0,0,2,1,1,130553.47,0
15789669,Hsia,510,France,Male,65,2,0,2,1,1,48071.61,0
15810845,T'ang,636,France,Male,42,2,0,2,1,1,55470.78,0
15719377,Cocci,804,France,Female,50,4,0,1,1,1,8546.87,1
15654506,Chang,514,France,Male,32,8,0,2,1,0,95857.18,0
15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0
15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0
15756850,Golovanov,479,France,Male,40,1,0,2,0,0,114996.43,0
15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0
15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0
15656176,Jenkins,501,France,Male,57,10,0,2,1,1,47847.19,0
15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0
15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0
15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
15773039,Ku,550,France,Male,37,3,0,1,1,1,179670.31,0
15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0
15684181,Hackett,643,France,Male,45,5,0,1,1,0,142513.5,1
15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0
15624592,Tan,603,France,Male,31,8,0,2,1,1,169915.02,0
15573152,Glassman,620,France,Female,41,9,0,2,0,0,88852.47,0
15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0
15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0
15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1
15774854,Fuller,592,France,Male,54,8,0,1,1,1,28737.71,1
15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0
15727829,McIntyre,567,France,Male,42,2,0,2,1,1,167984.61,0
15733247,Stevenson,850,France,Male,33,10,0,1,1,0,4861.72,1
15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0
15774393,Ch'ien,694,France,Female,30,9,0,2,1,1,26960.31,0
15808473,Ringrose,673,France,Male,72,1,0,2,0,1,111981.19,0
15627000,Freeman,610,France,Male,40,0,0,2,1,0,62232.6,0
15787174,Sergeyev,512,France,Female,37,1,0,2,0,1,156105.03,0
15704769,Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11,0
15711540,Pacheco,712,France,Female,29,2,0,1,1,1,144375,0
15794056,Johnston,668,France,Female,46,2,0,3,1,0,89048.46,1
