CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
15737173,Andrews,497,Spain,Male,24,3,0,2,1,0,76390.01,0
15600882,Scott,635,Spain,Female,35,7,0,2,1,1,65951.65,0
15788218,Henderson,549,Spain,Female,24,9,0,2,1,1,14406.41,0
15661507,Muldrow,587,Spain,Male,45,6,0,1,0,0,158684.81,0
15597945,Dellucci,636,Spain,Female,32,8,0,2,1,0,138555.46,0
15699309,Gerasimov,510,Spain,Female,38,4,0,1,1,0,118913.53,1
15589475,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469.38,1
15659428,Maggard,520,Spain,Female,42,6,0,2,1,1,34410.55,0
15732963,Clements,722,Spain,Female,29,9,0,2,1,1,142033.07,0
15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
15619360,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154.22,0
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15623944,T'ien,511,Spain,Female,66,4,0,1,1,0,1643.11,1
15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
15805254,Ndukaku,652,Spain,Female,75,10,0,2,1,1,114675.75,0
15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
15757535,Heap,647,Spain,Female,44,5,0,3,1,1,174205.22,1
15676966,Capon,730,Spain,Male,42,4,0,2,0,1,85982.47,0
15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
15604348,Allard,710,Spain,Male,22,8,0,2,0,0,99645.04,0
15776605,Bradley,528,Spain,Male,36,7,0,2,1,0,60536.56,0
15804919,Dunbabin,670,Spain,Female,65,1,0,1,1,1,177655.68,1
15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
15713483,Greeves,793,Spain,Male,52,2,0,1,1,0,159123.82,1
15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
15650237,Morgan,754,Spain,Female,32,7,0,2,1,0,89520.75,0
15811589,Metcalfe,716,Spain,Male,42,8,0,2,1,0,180800.42,0
15679145,Chou,706,Spain,Male,57,7,0,1,1,0,17941.16,1
15623595,Clayton,586,Spain,Female,28,2,0,2,1,1,92067.35,0
15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
15680772,Hu,721,Spain,Female,36,2,0,2,1,1,106977.8,0
15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
15574692,Pinto,667,Spain,Female,39,2,0,2,1,0,40721.24,1
15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
15708710,Ford,525,Spain,Female,37,0,0,1,0,1,131521.72,0
15726676,Marshall,616,Spain,Male,30,5,0,2,0,1,196108.51,0
15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
15635905,Moran,616,Spain,Female,32,6,0,2,1,1,43001.46,0
15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
15600974,He,516,Spain,Male,50,5,0,1,0,1,146145.93,1
15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0
15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
15786308,Millar,730,Spain,Female,33,9,0,2,0,0,176576.62,0
15787155,Yang,514,Spain,Male,30,7,0,1,0,1,125010.24,0
15812009,Grant,662,Spain,Male,38,4,0,2,1,0,136259.65,0
15576269,Madison,523,Spain,Male,34,7,0,2,1,0,62030.06,0
15753754,Morrison,587,Spain,Female,34,1,0,2,1,1,97932.68,0
15665834,Cheatham,696,Spain,Male,28,8,0,1,0,0,176713.47,0
15765297,Yao,766,Spain,Male,41,0,0,2,0,1,34283.23,0
15673481,Morton,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0
15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0
15813163,Ch'iu,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
15717398,Fielding,549,Spain,Female,39,7,0,1,0,0,81259.25,1
15787071,Dulhunty,650,Spain,Male,41,9,0,2,0,1,191599.67,0
15758685,Dubinina,706,Spain,Female,37,7,0,2,1,1,110899.3,0
15669169,Hargreaves,775,Spain,Male,29,10,0,2,1,1,68143.93,0
15573112,Kang,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0
15727556,O'Donnell,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,0
15697307,Nnachetam,588,Spain,Male,34,10,0,2,1,0,79078.91,0
15607098,Ahmed,747,Spain,Female,41,5,94521.17,2,1,0,194926.86,0
15590241,Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1
15684173,Chang,687,Spain,Female,44,7,0,3,1,0,155853.52,1
15682541,Hartley,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,0
15631868,Robertson,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0
15581539,Atkinson,474,Spain,Male,37,3,0,2,0,0,57175.32,0
15666252,Ritchie,706,Spain,Male,42,9,0,2,1,1,28714.34,0
15677512,McEncroe,628,Spain,Female,22,3,0,1,1,0,85426.28,0
15810834,Gordon,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0
15601274,Hsieh,667,Spain,Female,40,1,146502.07,1,1,0,19162.89,0
15742668,Day,626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0
15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
15681081,Marrero,545,Spain,Female,47,5,0,2,1,1,38970.14,0
15659420,Foley,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0
15593365,Shih,762,Spain,Male,39,2,81273.13,1,1,1,18719.67,0
15777352,Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0
15812007,Power,670,Spain,Male,25,6,0,2,1,1,78358.94,0
15611759,Simmons,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0
15661629,Ricci,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1
15803716,West,706,Spain,Male,28,3,0,2,0,1,181543.67,0
15613085,Ibrahimova,628,Spain,Female,33,3,0,1,1,1,188193.25,0
15611579,Sutherland,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0
15667871,Kerr,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0
15677371,Ko,629,Spain,Female,30,2,34013.63,1,1,0,19570.63,0
